model_name,MF_type,MF_num,learning_rate,batch_size,num_epochs,train_MSE,train_MAE,train_RMSE,val_MSE,val_MAE,val_RMSE,training_time
model 1,Gaussian,2,0.0001,128,100,13.454500198364258,3.46321702003479,3.6680376529693604,13.284014701843262,3.4396064281463623,3.644724130630493,7.897531032562256
model 2,Gaussian,3,0.0001,128,100,14.077825546264648,3.678107261657715,3.752042770385742,13.936423301696777,3.6599342823028564,3.733151912689209,12.696996927261353
model 3,Gaussian,4,0.0001,128,100,11.259882926940918,3.2458629608154297,3.3555748462677,11.160233497619629,3.2299258708953857,3.340693473815918,32.59992265701294
model 4,Gaussian,5,0.0001,128,100,14.598483085632324,3.7326250076293945,3.820796251296997,14.439515113830566,3.712721586227417,3.799936294555664,82.28032374382019
model 5,Generalized Bell,2,0.0001,128,100,11.411022186279297,3.0411300659179688,3.3780205249786377,11.404468536376953,3.0369417667388916,3.3770501613616943,8.425843000411987
model 6,Generalized Bell,3,0.0001,128,100,16.584199905395508,3.910691261291504,4.072370529174805,16.255802154541016,3.877793312072754,4.031848430633545,14.082940578460693
model 7,Generalized Bell,4,0.0001,128,100,15.141789436340332,3.7393343448638916,3.891245126724243,14.896122932434082,3.710428237915039,3.8595495223999023,35.61686873435974
model 8,Generalized Bell,5,0.0001,128,100,12.89967155456543,3.4852404594421387,3.591611385345459,12.785266876220703,3.4685518741607666,3.5756492614746094,82.11700177192688
model 9,Smoothed Triangular,2,0.0001,128,100,20.565500259399414,4.256309509277344,4.5349202156066895,20.336109161376953,4.231236934661865,4.509557723999023,9.449709177017212
model 10,Smoothed Triangular,3,0.0001,128,100,18.877368927001953,3.8886075019836426,4.344809532165527,18.545146942138672,3.833738327026367,4.306407451629639,15.042644262313843
model 11,Smoothed Triangular,4,0.0001,128,100,20.414485931396484,4.2063140869140625,4.5182390213012695,20.219135284423828,4.193577289581299,4.4965691566467285,36.00697112083435
model 12,Smoothed Triangular,5,0.0001,128,100,20.44310760498047,4.239786624908447,4.5214056968688965,20.21832275390625,4.214842796325684,4.496479034423828,85.40778684616089
model 13,Gaussian,2,0.0005,128,100,1.3192058801651,1.1022493839263916,1.1485668420791626,1.2802499532699585,1.0864330530166626,1.1314812898635864,8.149734258651733
model 14,Gaussian,3,0.0005,128,100,0.1588866263628006,0.32863637804985046,0.3986058533191681,0.14612093567848206,0.3190142810344696,0.3822576701641083,13.283032894134521
model 15,Gaussian,4,0.0005,128,100,1.426908016204834,1.147628664970398,1.1945325136184692,1.3590985536575317,1.1185884475708008,1.1658037900924683,32.61670160293579
model 16,Gaussian,5,0.0005,128,100,1.8546968698501587,1.3199719190597534,1.3618725538253784,1.7810698747634888,1.292678952217102,1.3345673084259033,75.43438386917114
model 17,Generalized Bell,2,0.0005,128,100,1.1637439727783203,1.026645541191101,1.0787696838378906,1.1085779666900635,1.0017625093460083,1.0528903007507324,8.749852418899536
model 18,Generalized Bell,3,0.0005,128,100,0.5554996728897095,0.6687834858894348,0.7453185319900513,0.5192797183990479,0.6436833143234253,0.7206106781959534,13.866744995117188
model 19,Generalized Bell,4,0.0005,128,100,1.3610597848892212,1.1221411228179932,1.1666446924209595,1.3036528825759888,1.097503423690796,1.141776204109192,33.668132305145264
model 20,Generalized Bell,5,0.0005,128,100,0.5475010871887207,0.6334893703460693,0.73993319272995,0.5208722949028015,0.6147793531417847,0.7217148542404175,80.49312329292297
model 21,Smoothed Triangular,2,0.0005,128,100,20.56549835205078,4.256309509277344,4.534919738769531,20.336109161376953,4.231236934661865,4.509557723999023,9.283329963684082
model 22,Smoothed Triangular,3,0.0005,128,100,20.565494537353516,4.256309509277344,4.534919261932373,20.336105346679688,4.231236457824707,4.509557247161865,14.899684190750122
model 23,Smoothed Triangular,4,0.0005,128,100,17.251768112182617,3.833195686340332,4.153524875640869,17.027061462402344,3.8064167499542236,4.1263861656188965,36.766640186309814
model 24,Smoothed Triangular,5,0.0005,128,100,16.632293701171875,3.7902920246124268,4.07827091217041,16.56488609313965,3.776404857635498,4.069998264312744,86.21694493293762
model 25,Gaussian,2,0.001,128,100,0.10501988232135773,0.2622328996658325,0.32406771183013916,0.10106265544891357,0.2539079487323761,0.3179035186767578,8.093176126480103
model 26,Gaussian,3,0.001,128,100,0.10680952668190002,0.26395443081855774,0.32681727409362793,0.10212485492229462,0.2523535192012787,0.31956979632377625,13.000073432922363
model 27,Gaussian,4,0.001,128,100,0.10372308641672134,0.26051604747772217,0.3220606744289398,0.09995993226766586,0.2528444528579712,0.31616440415382385,32.43981337547302
model 28,Gaussian,5,0.001,128,100,0.10102172940969467,0.25809744000434875,0.3178391456604004,0.09685137867927551,0.24908150732517242,0.3112095296382904,77.1998941898346
model 29,Generalized Bell,2,0.001,128,100,0.10447332262992859,0.25921013951301575,0.3232233226299286,0.1001666933298111,0.24851246178150177,0.3164912164211273,8.453099012374878
model 30,Generalized Bell,3,0.001,128,100,0.16215035319328308,0.3162262737751007,0.4026789665222168,0.15461471676826477,0.30386677384376526,0.393210768699646,13.850516319274902
model 31,Generalized Bell,4,0.001,128,100,0.10354911535978317,0.25752022862434387,0.321790486574173,0.10033906996250153,0.24934811890125275,0.31676343083381653,33.96681618690491
model 32,Generalized Bell,5,0.001,128,100,0.12153798341751099,0.27359727025032043,0.34862297773361206,0.1160963922739029,0.26524215936660767,0.3407292068004608,79.95748376846313
model 33,Smoothed Triangular,2,0.001,128,100,12.50035572052002,2.4524693489074707,3.5355842113494873,12.723699569702148,2.4921441078186035,3.5670294761657715,9.14280104637146
model 34,Smoothed Triangular,3,0.001,128,100,16.517934799194336,3.862638235092163,4.064226150512695,16.193363189697266,3.8284716606140137,4.024097919464111,14.912500858306885
model 35,Smoothed Triangular,4,0.001,128,100,3.0136001110076904,0.7307087779045105,1.7359724044799805,3.114455223083496,0.7547420263290405,1.7647819519042969,35.50024342536926
model 36,Smoothed Triangular,5,0.001,128,100,13.646595001220703,3.51900577545166,3.694129705429077,13.582259178161621,3.507523536682129,3.6854116916656494,83.68389868736267
model 37,Gaussian,2,0.0001,32,100,1.6792818307876587,1.254569172859192,1.2958710193634033,1.616369605064392,1.2309248447418213,1.2713652849197388,15.880556344985962
model 38,Gaussian,3,0.0001,32,100,0.6524350643157959,0.709364652633667,0.8077345490455627,0.6055662035942078,0.6777396202087402,0.7781813144683838,23.57419443130493
