Load History,Distance to Task,Total Distance Travelled,Suitability
5.0,24.0,20.0,3.234294093351964
6.0,6.0,20.0,4.7943280888893725
5.0,1.0,4.0,7.095915773401961
10.0,8.0,22.0,3.4577323877091324
2.0,6.0,0.0,7.085753506648972
4.0,22.0,22.0,3.568530970784486
5.0,1.0,32.0,4.999999999999998
3.0,13.0,11.0,5.403076787963116
0.0,3.0,44.0,5.351552588949394
5.0,11.0,9.0,5.163419554537007
3.0,20.0,19.0,4.494873315182327
1.0,21.0,28.0,4.264817072475606
10.0,15.0,22.0,3.014759922305987
6.0,10.0,47.0,3.122097107415479
0.0,17.0,10.0,6.339168096482055
4.0,21.0,8.0,5.0
4.0,22.0,18.0,3.7918386884371924
2.0,0.0,24.0,6.8509945691290985
0.0,25.0,17.0,4.732904064066759
8.0,4.0,29.0,3.937758503215734
3.0,10.0,42.0,4.384060162617671
9.0,13.0,40.0,2.368984319070792
2.0,6.0,14.0,5.930624610682212
1.0,14.0,3.0,6.794744296778472
10.0,22.0,0.0,2.851552588949392
10.0,16.0,26.0,2.69110801840278
1.0,3.0,19.0,7.138748119522116
1.0,8.0,9.0,6.923649194637803
8.0,9.0,39.0,2.9675245471814216
5.0,22.0,10.0,4.340733640621226
4.0,14.0,4.0,5.965135721886858
9.0,20.0,11.0,3.071126665178911
7.0,6.0,12.0,5.217324371773708
8.0,6.0,9.0,5.100241697752072
0.0,4.0,3.0,8.48957887746552
2.0,11.0,20.0,5.277144896463358
10.0,3.0,24.0,4.1484084058361175
10.0,13.0,14.0,3.6063694401173136
3.0,10.0,33.0,4.715260744007554
4.0,5.0,0.0,6.941367411255901
3.0,23.0,3.0,5.000000000000001
2.0,6.0,34.0,5.430101882013851
5.0,9.0,48.0,3.35112647570901
10.0,6.0,36.0,3.3308229815422297
7.0,14.0,10.0,4.0895662199164144
5.0,10.0,21.0,4.361413538744774
1.0,7.0,20.0,6.445031757930839
1.0,17.0,41.0,3.7976891771286447
2.0,9.0,33.0,5.191914824284353
3.0,18.0,30.0,3.354745696985729
9.0,17.0,23.0,2.8814241818765653
0.0,6.0,24.0,6.679131338985762
0.0,11.0,26.0,5.636525740895407
0.0,11.0,25.0,5.6662854492394885
7.0,20.0,46.0,1.8321256038647342
6.0,15.0,21.0,3.0713020643503057
7.0,17.0,44.0,2.049955961379802
4.0,5.0,39.0,5.083706067575942
7.0,10.0,3.0,6.030686488994961
1.0,22.0,35.0,3.667433596669687
3.0,20.0,41.0,2.9441037890727615
6.0,20.0,29.0,2.3372143619111783
9.0,5.0,29.0,3.8503399920997685
10.0,17.0,41.0,1.7118587429963221
4.0,2.0,12.0,6.7721806742494
9.0,12.0,17.0,3.6234472332477843
6.0,21.0,29.0,2.3441643665097147
0.0,20.0,44.0,3.3528746998163586
10.0,4.0,38.0,3.3097439363116363
7.0,25.0,18.0,3.144376345056962
3.0,13.0,37.0,4.029696749957799
8.0,5.0,15.0,5.0
7.0,16.0,18.0,3.2606570815991924
1.0,19.0,1.0,6.0314120233641795
1.0,11.0,38.0,5.516319562126552
6.0,4.0,41.0,3.9156849844392916
3.0,7.0,26.0,5.172505823168143
1.0,10.0,41.0,5.563935961767745
7.0,20.0,5.0,3.725872353355083
10.0,12.0,21.0,3.1702528813247963
1.0,23.0,27.0,4.0673780185550585
0.0,8.0,38.0,6.052973199329983
8.0,15.0,39.0,1.7964874097426438
6.0,8.0,31.0,3.360889642263028
9.0,17.0,3.0,3.839168096482053
8.0,4.0,33.0,3.6485400367172316
4.0,2.0,42.0,5.627128112364334
2.0,15.0,4.0,6.563088512241055
4.0,1.0,13.0,6.69289115445459
6.0,7.0,44.0,3.4872270469996542
5.0,18.0,41.0,2.664578737124689
1.0,13.0,49.0,4.314027069783794
9.0,24.0,32.0,1.0157087027984102
5.0,12.0,47.0,2.9768899418096697
4.0,24.0,18.0,3.4305208141199253
2.0,20.0,29.0,3.8503399920997685
2.0,16.0,9.0,5.675674757996836
9.0,16.0,39.0,1.7979885662829262
5.0,22.0,33.0,2.6592118371021947
2.0,8.0,29.0,5.3366100796452915
2.0,25.0,38.0,3.23895720182179
6.0,6.0,19.0,4.874124036083777
2.0,9.0,21.0,5.4699187377201755
6.0,18.0,12.0,3.592069430872814
4.0,15.0,31.0,3.13272337163894
2.0,21.0,8.0,5.0
7.0,8.0,3.0,6.199104325021114
1.0,23.0,47.0,2.457829173550029
1.0,16.0,37.0,3.915512877027064
1.0,4.0,49.0,4.818883705165779
10.0,14.0,37.0,2.235790665238408
1.0,6.0,44.0,5.19675741340643
7.0,4.0,29.0,3.8412170353925204
5.0,8.0,7.0,5.82662642589048
5.0,11.0,47.0,3.1115489247886194
5.0,9.0,41.0,3.9649023548589737
7.0,22.0,19.0,3.0996388296666684
6.0,22.0,43.0,1.3697599231923958
9.0,11.0,3.0,4.898788502721416
0.0,19.0,30.0,3.903653653653654
2.0,20.0,15.0,5.000000000000003
6.0,13.0,3.0,4.8267371559121806
8.0,22.0,22.0,2.811132270163417
4.0,22.0,6.0,5.000000000000001
1.0,13.0,24.0,5.082643662037686
0.0,17.0,23.0,5.011315033792615
0.0,11.0,37.0,5.562937442179474
0.0,5.0,33.0,6.325825809938727
1.0,24.0,3.0,5.0
5.0,23.0,18.0,3.3511264757090093
1.0,12.0,9.0,6.75793010908613
2.0,10.0,11.0,5.910138212246814
0.0,0.0,37.0,6.073332548505077
5.0,6.0,35.0,4.395984987305669
8.0,3.0,50.0,3.2549045197996582
0.0,13.0,31.0,4.823583962544623
1.0,23.0,50.0,2.457829173550029
5.0,15.0,26.0,3.400303425456039
8.0,16.0,19.0,3.159967229395156
8.0,9.0,2.0,5.85408603245739
6.0,18.0,32.0,2.0673046855624633
2.0,16.0,32.0,3.709053288717735
8.0,25.0,3.0,3.3528746998163577
8.0,7.0,24.0,4.242535116451232
7.0,10.0,25.0,3.9068651862092127
2.0,10.0,26.0,5.219442255494266
2.0,19.0,30.0,3.6336533672735323
7.0,12.0,42.0,2.7775916583460325
10.0,23.0,41.0,0.7309704184704183
6.0,11.0,44.0,3.0147599223059873
8.0,9.0,21.0,4.2498067574496
10.0,23.0,17.0,1.924554370612074
3.0,13.0,42.0,4.029696749957799
0.0,2.0,4.0,9.294662309368192
7.0,5.0,43.0,3.494461508784425
10.0,25.0,32.0,0.7531270791749834
5.0,8.0,10.0,5.468797562336464
5.0,23.0,44.0,1.9902678060801549
0.0,6.0,40.0,5.8873456790123475
3.0,16.0,27.0,3.8054485419389863
10.0,24.0,21.0,1.6959066367231876
5.0,24.0,26.0,2.8014220914166432
0.0,23.0,16.0,4.8525462543348725
4.0,1.0,12.0,6.7721806742494
0.0,14.0,24.0,4.940038792200573
10.0,3.0,38.0,3.4024631025226415
0.0,7.0,38.0,6.079376026648506
9.0,20.0,5.0,3.3074520380917103
0.0,2.0,10.0,8.270738799511458
2.0,6.0,18.0,5.880491504377487
4.0,13.0,32.0,3.7666208740804965
1.0,25.0,15.0,4.789329464861379
