model_name,num_layers,num_neurons,num_epochs,learning_rate,batch_size,train_loss,train_mae,train_rmse,training_r2,val_loss,val_mae,val_rmse,val_r2,training_time
model 1,1,16,100,0.0001,128,0.5737006068229675,0.5861186385154724,0.7574302554130554,0.7398729920387268,0.08315814286470413,0.2277711033821106,0.2883715331554413,0.9633364677429199,7.900466442108154
model 2,1,16,100,0.0001,32,0.38161173462867737,0.4758358597755432,0.6177473068237305,0.8269697427749634,0.0744362622499466,0.21996986865997314,0.2728300988674164,0.9671818017959595,18.79978632926941
model 3,1,16,100,0.0001,64,0.4035106599330902,0.48999860882759094,0.6352248787879944,0.8170404434204102,0.0724925622344017,0.21357379853725433,0.2692444324493408,0.96803879737854,12.175770998001099
model 4,1,16,100,0.0005,128,0.2851702570915222,0.4104183614253998,0.5340133309364319,0.8706973791122437,0.06724291294813156,0.20843122899532318,0.25931239128112793,0.9703533053398132,8.207499742507935
model 5,1,16,100,0.0005,32,0.25211018323898315,0.3899614214897156,0.5021057724952698,0.8856878280639648,0.07989811152219772,0.23444464802742004,0.2826625406742096,0.9647737145423889,18.617966651916504
model 6,1,16,100,0.0005,64,0.23785242438316345,0.3759658932685852,0.4877011775970459,0.8921530246734619,0.06509409844875336,0.20584063231945038,0.2551354467868805,0.9713007211685181,11.98050308227539
model 7,1,16,100,0.001,128,0.23459145426750183,0.37285318970680237,0.4843464195728302,0.8936315774917603,0.07504066824913025,0.22122327983379364,0.2739355266094208,0.9669153690338135,7.999539375305176
model 8,1,16,100,0.001,32,0.21453547477722168,0.36083918809890747,0.46317973732948303,0.9027243852615356,0.07066226750612259,0.21437512338161469,0.26582375168800354,0.9688456654548645,18.48348832130432
model 9,1,16,100,0.001,64,0.18782936036586761,0.3346858024597168,0.43339285254478455,0.914834201335907,0.06665855646133423,0.2102912962436676,0.25818318128585815,0.9706109166145325,11.950500965118408
model 10,1,16,250,0.0001,128,0.31347498297691345,0.4310179054737091,0.5598883628845215,0.8578638434410095,0.07220249623060226,0.21763500571250916,0.26870521903038025,0.9681666493415833,18.732157945632935
model 11,1,16,250,0.0001,32,0.273843914270401,0.40365010499954224,0.5233010053634644,0.875834047794342,0.06958422064781189,0.2148463875055313,0.26378822326660156,0.9693210124969482,44.83871102333069
model 12,1,16,250,0.0001,64,0.28517603874206543,0.407084196805954,0.5340187549591064,0.8706960678100586,0.06655296683311462,0.20691679418087006,0.257978618144989,0.970657467842102,28.64685869216919
model 13,1,16,250,0.0005,128,0.18418771028518677,0.32944971323013306,0.42917096614837646,0.9164854884147644,0.06578537821769714,0.20577873289585114,0.2564866244792938,0.9709959030151367,18.867066144943237
model 14,1,16,250,0.0005,32,0.20527903735637665,0.3537956476211548,0.4530772864818573,0.9069229364395142,0.06434544175863266,0.20050358772277832,0.2536640465259552,0.9716306924819946,44.20468187332153
