Load History,Distance to Task,Total Distance Travelled,Suitability
4.0,13.0,42.0,3.3129514148465646
0.0,12.0,15.0,6.003929463987329
9.0,11.0,9.0,4.140383706612203
0.0,20.0,7.0,4.521691934130604
1.0,2.0,44.0,5.133376035144414
8.0,1.0,30.0,4.696402583261942
3.0,9.0,44.0,4.1123251941994
5.0,14.0,12.0,4.375018681997157
0.0,18.0,46.0,2.9891931959540874
2.0,1.0,28.0,6.306791912702256
7.0,2.0,36.0,4.61167614275826
5.0,19.0,37.0,2.5960975863545355
0.0,0.0,33.0,5.982206262706098
8.0,7.0,19.0,4.700933802962359
1.0,11.0,43.0,4.4455534880888985
9.0,1.0,21.0,4.876489251064288
6.0,11.0,29.0,3.866500642549884
10.0,3.0,24.0,4.677726866571077
6.0,7.0,44.0,4.253366710532508
4.0,0.0,15.0,6.941621628479357
0.0,20.0,23.0,4.189937199918447
2.0,21.0,14.0,3.929573802112115
2.0,4.0,22.0,6.422092499378573
10.0,22.0,0.0,2.17451796351722
10.0,2.0,48.0,3.7245197150061182
6.0,14.0,17.0,3.629128950584715
3.0,21.0,9.0,3.9484389854278166
7.0,11.0,46.0,3.5348393056748373
1.0,18.0,11.0,4.9313360586168065
3.0,12.0,49.0,3.5825592639655723
7.0,5.0,26.0,4.9820006850496625
3.0,1.0,31.0,5.912615380050285
8.0,23.0,3.0,2.6466425420337276
4.0,21.0,6.0,4.15978971563028
1.0,4.0,30.0,6.095195452134447
7.0,12.0,49.0,3.2520069348924996
8.0,17.0,38.0,1.9634272514934725
6.0,20.0,15.0,3.1337659570526
6.0,18.0,42.0,1.8590279459957988
6.0,25.0,9.0,3.307717462393721
7.0,14.0,30.0,2.721715807817734
6.0,22.0,29.0,2.0275648231383148
9.0,16.0,1.0,3.2961758227350924
10.0,18.0,5.0,2.978311800715891
4.0,24.0,2.0,3.5128436361308846
3.0,3.0,34.0,5.649206485874916
10.0,10.0,34.0,3.6818237793408204
6.0,1.0,50.0,4.671059433241912
5.0,8.0,24.0,4.773394700709518
3.0,11.0,34.0,4.30761314315083
8.0,1.0,3.0,5.429886861923632
2.0,21.0,30.0,3.3112855641003907
7.0,2.0,49.0,4.424807718674385
8.0,21.0,4.0,2.70440077649624
9.0,10.0,1.0,4.509354875471238
5.0,4.0,28.0,5.38110706765639
1.0,17.0,23.0,4.364192406387023
1.0,24.0,5.0,3.5110989532279717
9.0,22.0,2.0,2.1926250580057816
1.0,15.0,37.0,3.389396495941419
8.0,21.0,9.0,2.70440077649624
7.0,23.0,26.0,2.351933879526632
4.0,7.0,42.0,4.524115488897896
0.0,20.0,17.0,4.440828989970666
1.0,23.0,2.0,3.558663067015383
4.0,22.0,34.0,2.7945608597300486
8.0,9.0,40.0,3.7667677701325735
8.0,11.0,42.0,3.443886036973378
4.0,23.0,24.0,2.6973201519633365
10.0,21.0,43.0,1.88165905631659
4.0,4.0,18.0,5.975875406483165
6.0,11.0,18.0,4.355096532410184
5.0,20.0,50.0,2.4029200313644368
0.0,7.0,40.0,5.175029786714435
5.0,23.0,14.0,3.1094902069226786
0.0,23.0,43.0,2.3147845905471574
8.0,15.0,37.0,1.9579000011128915
2.0,3.0,23.0,6.5277211361963
0.0,7.0,14.0,6.759800155681666
9.0,15.0,45.0,1.899268819586772
1.0,16.0,10.0,5.354825666290244
7.0,22.0,42.0,1.856856856856857
7.0,3.0,3.0,5.857313439894071
9.0,11.0,1.0,4.307048853674258
6.0,16.0,46.0,1.8749362709945567
2.0,18.0,16.0,4.655186637100393
8.0,19.0,35.0,1.9444627578527893
2.0,18.0,8.0,4.760776779615327
6.0,17.0,14.0,3.375592114558257
5.0,24.0,50.0,1.4055973266499584
1.0,3.0,8.0,7.6332981465667205
2.0,8.0,3.0,7.025685139348557
2.0,24.0,39.0,2.7131131145363123
5.0,17.0,40.0,2.5031157056023514
7.0,6.0,48.0,4.254437644308083
4.0,3.0,25.0,5.784672801483771
9.0,23.0,3.0,2.0403006636220526
9.0,0.0,50.0,3.8171978418051937
0.0,23.0,37.0,2.872625702669263
5.0,12.0,15.0,4.435754125948696
9.0,18.0,41.0,1.8940915350742338
10.0,20.0,6.0,2.633328409992644
0.0,23.0,49.0,1.8914449234428425
6.0,6.0,16.0,5.399891240213821
7.0,7.0,41.0,4.251906227362332
2.0,7.0,19.0,5.815777298336362
0.0,16.0,27.0,4.025988176406161
2.0,1.0,49.0,4.995241631734226
5.0,23.0,36.0,2.4615252764304256
1.0,15.0,38.0,3.3906875881381606
10.0,18.0,11.0,2.978311800715891
8.0,24.0,35.0,1.8506669688976813
7.0,17.0,20.0,3.049667999714595
0.0,9.0,32.0,5.310837976534428
7.0,21.0,4.0,3.1269097026617625
2.0,22.0,23.0,3.681383492488648
10.0,11.0,29.0,3.30610991585403
8.0,3.0,50.0,4.093891668587596
8.0,11.0,3.0,4.663795405982906
8.0,5.0,27.0,4.78514323784144
4.0,5.0,16.0,5.892882233004357
7.0,10.0,30.0,4.043600696915496
8.0,19.0,26.0,2.4563771157633414
2.0,22.0,18.0,3.6798773127896056
1.0,24.0,12.0,3.367732530419194
1.0,9.0,43.0,4.706435769539105
7.0,20.0,37.0,1.9221446577467518
2.0,24.0,43.0,2.3272023003286253
1.0,18.0,6.0,4.9313360586168065
6.0,9.0,11.0,5.169664949417942
0.0,18.0,7.0,4.983378551645897
4.0,23.0,20.0,2.6973201519633365
10.0,8.0,42.0,3.5959277506221112
7.0,18.0,30.0,2.0219962049827407
6.0,12.0,10.0,4.651826471045045
0.0,17.0,41.0,3.195493964077357
2.0,8.0,11.0,5.990451031578151
3.0,0.0,1.0,8.166993012362742
7.0,23.0,49.0,1.827103138756255
8.0,6.0,49.0,3.9370451752417175
3.0,11.0,5.0,6.205112275176818
1.0,12.0,31.0,4.6065292949597625
8.0,2.0,30.0,4.680609262667412
7.0,8.0,15.0,4.895429633391257
7.0,17.0,29.0,2.210170531716094
10.0,12.0,13.0,3.74011091816641
7.0,15.0,29.0,2.210170531716094
1.0,19.0,36.0,3.108970772014249
9.0,5.0,16.0,4.639200727034073
0.0,10.0,32.0,5.139401406342101
2.0,25.0,24.0,3.301368568806348
9.0,5.0,37.0,4.144866995369194
4.0,18.0,49.0,2.8201878351131473
10.0,17.0,20.0,2.762229780539461
5.0,18.0,49.0,2.4462706937936582
0.0,4.0,25.0,6.508886476947643
9.0,3.0,19.0,4.890578619360827
10.0,13.0,49.0,2.4441757265211916
5.0,8.0,0.0,6.0924263998597
