Load History,Distance to Task,Total Distance Travelled,Suitability
3.0,18.0,19.0,4.263302087605677
2.0,14.0,2.0,5.841274235536388
10.0,7.0,47.0,3.4123336266907063
4.0,20.0,3.0,4.521691934130604
10.0,6.0,5.0,4.728186926944692
7.0,16.0,23.0,2.8579599284791644
2.0,12.0,38.0,4.258185910597575
7.0,24.0,35.0,1.8364434984299578
6.0,20.0,22.0,2.729038065843621
10.0,9.0,13.0,4.128069173625902
9.0,24.0,47.0,1.88957475994513
9.0,18.0,36.0,1.8734313336966026
9.0,7.0,34.0,4.153789113991834
5.0,10.0,25.0,4.304907763838767
0.0,12.0,12.0,6.2134646061293575
0.0,13.0,43.0,4.026018298583619
2.0,17.0,26.0,4.0081465879652916
10.0,19.0,11.0,2.8064587970972252
8.0,24.0,30.0,1.8012852098217953
3.0,16.0,29.0,3.5300053050010844
6.0,18.0,29.0,2.183133661195935
0.0,0.0,18.0,7.460381778285494
1.0,19.0,42.0,2.854034837193841
3.0,16.0,46.0,3.0325119797287567
2.0,8.0,24.0,5.50767678107758
1.0,21.0,22.0,4.068339457479432
0.0,8.0,32.0,5.499626135030206
7.0,18.0,11.0,3.277421525097606
7.0,12.0,42.0,3.3076379683563135
4.0,25.0,42.0,2.48913190036649
1.0,17.0,10.0,5.150752304947983
8.0,0.0,5.0,5.434694727461382
10.0,16.0,35.0,1.8473934614387792
6.0,22.0,7.0,3.3767920216081446
6.0,4.0,5.0,6.316318997952088
4.0,11.0,33.0,4.15040673632155
9.0,0.0,31.0,4.568206723024496
9.0,2.0,32.0,4.496694930881062
3.0,11.0,23.0,4.597665406813366
0.0,22.0,13.0,3.816722572210487
10.0,14.0,7.0,3.568587538897077
1.0,23.0,31.0,3.2647586289168617
9.0,2.0,32.0,4.496694930881062
4.0,5.0,32.0,5.198417036032218
2.0,6.0,45.0,4.574205618229685
10.0,13.0,30.0,2.7810319735931786
6.0,15.0,13.0,3.564975394780102
5.0,25.0,16.0,2.9501102740539005
9.0,25.0,43.0,1.88165905631659
9.0,5.0,24.0,4.653531044489716
8.0,0.0,18.0,5.31207997470554
3.0,13.0,8.0,5.517086469377156
10.0,11.0,38.0,3.39624222410223
8.0,14.0,49.0,2.4106642815059303
3.0,0.0,32.0,5.878645034034043
4.0,17.0,22.0,3.983029589042276
9.0,3.0,22.0,4.809720058069383
2.0,13.0,30.0,4.255762212648139
10.0,6.0,47.0,3.505003082467871
10.0,4.0,38.0,4.118777787770594
7.0,9.0,49.0,3.9084868558166415
9.0,11.0,30.0,3.3510903762493305
7.0,0.0,9.0,5.894826769522264
4.0,3.0,37.0,5.3372041322339925
7.0,22.0,45.0,1.842189764551711
0.0,14.0,41.0,3.7289468954018763
10.0,12.0,8.0,3.9477961819758525
3.0,17.0,22.0,4.151053896652062
2.0,5.0,10.0,5.981482589180879
1.0,6.0,13.0,6.729030844143887
9.0,0.0,17.0,5.011037025150347
3.0,13.0,7.0,5.577159773945706
2.0,21.0,0.0,4.23960493353899
8.0,1.0,22.0,5.164970038264385
1.0,19.0,35.0,3.1781096323807563
8.0,24.0,1.0,2.6367043262074055
2.0,15.0,39.0,3.379478956959043
0.0,17.0,15.0,5.1130416801114045
9.0,6.0,14.0,4.51580046254211
2.0,15.0,7.0,5.388187511088496
2.0,4.0,2.0,7.46418627503051
8.0,13.0,29.0,3.0061381606325432
0.0,20.0,28.0,3.641852305276024
1.0,13.0,16.0,5.642966694157579
8.0,15.0,31.0,1.9651124338624335
5.0,3.0,45.0,4.831611141022571
4.0,18.0,16.0,4.1827785935715465
6.0,0.0,27.0,5.287742053206911
4.0,10.0,9.0,5.4906492582570126
3.0,2.0,42.0,5.28168123877487
2.0,0.0,49.0,5.001076377334152
0.0,6.0,10.0,7.08575350664897
8.0,19.0,11.0,2.924408509462819
2.0,18.0,29.0,3.509668001334669
0.0,6.0,29.0,5.977949599083621
9.0,24.0,31.0,1.8139032284496883
2.0,7.0,23.0,5.71225583359394
5.0,16.0,13.0,4.115993727877699
4.0,5.0,34.0,5.137548620425822
8.0,1.0,49.0,4.141103597629275
10.0,12.0,21.0,3.1940564286457533
9.0,0.0,11.0,5.095493119410456
8.0,6.0,40.0,4.043532457556844
8.0,8.0,47.0,3.7747768010154505
0.0,14.0,37.0,3.7424291321128678
6.0,0.0,0.0,6.474506652794422
9.0,5.0,6.0,4.830024039060949
6.0,23.0,16.0,2.964392520900887
2.0,3.0,12.0,6.772137367842472
3.0,21.0,41.0,2.667782924253911
6.0,2.0,22.0,5.553966181830527
2.0,21.0,16.0,3.9524405914747325
3.0,8.0,15.0,5.398668592613773
3.0,11.0,27.0,4.507755325060814
3.0,15.0,29.0,3.5300053050010844
8.0,18.0,2.0,3.091824801879377
0.0,3.0,12.0,7.783810320387502
7.0,12.0,0.0,4.504490174809129
2.0,5.0,12.0,6.041209540197731
10.0,4.0,40.0,4.0096640416617975
2.0,24.0,44.0,2.186891676057195
7.0,25.0,18.0,2.8834201812951203
4.0,18.0,15.0,4.208920190633352
5.0,1.0,39.0,5.102618697101839
